,Titles,Genres,Developers,Publishers,ReleaseDate_JP,ReleaseDate_EU,ReleaseDate_NA,TitlesHTML,SearchLinks,HistScrapped,Reviews,LogRegSlope,LogRegIntcpt,InitPrice,MappedGenres,MappedPublishers,MappedDevelopers,ReleaseDate_Agg,Release_Year,Release_Month,Release_Day,Success,SuccessPredict,SuccessPredictProb,SuccessPredictText
2126,Unmechanical: Extended,Platformerpuzzle,Grip Games,Grip Games,2015-10-21,2015-02-11,2015-02-10,unmechanical+extended,https://psprices.com/region-us/search/?q=unmechanical+extended&platform=PS4&dlc=hide,True,70.0,-0.0013579379366615095,0.08334285694548042,9.99,Puzzle,MedPublishers,MedDevelopers,2015-02-10,2015.0,2.0,10.0,1,0.0,62.33187940862802,Failure
2127,Uno,Card & board,Ubisoft Chengdu,Ubisoft,2016-08-25,2016-08-16,2016-08-16,uno,https://psprices.com/region-us/search/?q=uno&platform=PS4&dlc=hide,True,64.0,-0.0006675859859913286,-0.08616645053317284,9.99,Puzzle,HighPublishers,LowDevelopers,2016-08-16,2016.0,8.0,16.0,0,0.0,68.69816887008767,Failure
2128,Unravel,Puzzle platformer,ColdWood Interactive,Electronic Arts,2016-02-09,2016-02-09,2016-02-09,unravel,https://psprices.com/region-us/search/?q=unravel&platform=PS4&dlc=hide,True,76.0,-0.0011704271018893823,0.06321083949102779,19.99,Puzzle,HighPublishers,LowDevelopers,2016-02-09,2016.0,2.0,9.0,1,0.0,65.85675928288617,Failure
2129,Unravel Two,Puzzle platformer,Coldwood Interactive,Electronic Arts,2018-06-09,2018-06-09,2018-06-09,unravel+two,https://psprices.com/region-us/search/?q=unravel+two&platform=PS4&dlc=hide,True,76.0,-0.0007864638001239723,-0.10557040317177646,19.99,Puzzle,HighPublishers,LowDevelopers,2018-06-09,2018.0,6.0,9.0,0,0.0,79.12846128850613,Failure
2130,Unruly Heroes,Platformer,Magic Design Studios,Magic Design Studios,2019-07-19,2019-05-28,2019-05-28,unruly+heroes,https://psprices.com/region-us/search/?q=unruly+heroes&platform=PS4&dlc=hide,True,79.0,-0.0003603287113311172,-0.06855151849665912,19.99,Platformer,LowPublishers,LowDevelopers,2019-05-28,2019.0,5.0,28.0,0,0.0,88.77018805843223,Failure
2131,Until Dawn,Interactive drama,Supermassive Games,Sony Computer Entertainment,2015-08-27,2015-08-26,2015-08-25,until+dawn,https://psprices.com/region-us/search/?q=until+dawn&platform=PS4&dlc=hide,True,78.0,-0.000898796857713284,0.13894011489097244,59.99,Adventure,HighPublishers,MedDevelopers,2015-08-25,2015.0,8.0,25.0,0,1.0,60.34387881622013,Success
2136,Utawarerumono: Mask of Deception,"Tactical role-playing, visual novel",Aquaplus,NA: Atlus USAEU: Deep Silver,2015-09-24,2017-05-23,2017-05-23,utawarerumono+mask+of+deception,https://psprices.com/region-us/search/?q=utawarerumono+mask+of+deception&platform=PS4&dlc=hide,True,69.0,-0.001498316342674699,0.06623295925509193,49.99,Adventure,LowPublishers,MedDevelopers,2017-05-23,2017.0,5.0,23.0,1,0.0,54.572948730636426,Failure
2137,Utawarerumono: Mask of Truth,"Tactical role-playing, visual novel",Aquaplus,NA: Atlus USAEU: Deep Silver,2016-09-21,2017-09-05,2017-09-05,utawarerumono+mask+of+truth,https://psprices.com/region-us/search/?q=utawarerumono+mask+of+truth&platform=PS4&dlc=hide,True,75.0,-0.001690084913817298,0.029753026008803807,49.99,Adventure,LowPublishers,MedDevelopers,2017-09-05,2017.0,9.0,5.0,1,0.0,55.46525322453887,Failure
2140,VA-11 Hall-A: Cyberpunk Bartender Action,"Simulation, visual novel",Sukeban Games,Ysbryd Games,2019-05-30,2019-05-02,2019-05-02,va-11+hall-a+cyberpunk+bartender+action,https://psprices.com/region-us/search/?q=va-11+hall-a+cyberpunk+bartender+action&platform=PS4&dlc=hide,True,83.0,0.0,0.0,14.99,Simulation,LowPublishers,LowDevelopers,2019-05-02,2019.0,5.0,2.0,0,0.0,87.75531720727888,Failure
2142,Valfaris,Actionplatformer,Steel Mantis,JP: EastAsiaSoftWW: Digital Uppercut,2020-01-23,2019-11-06,2019-11-05,valfaris,https://psprices.com/region-us/search/?q=valfaris&platform=PS4&dlc=hide,True,76.0,0.0,0.0,14.99,Platformer,LowPublishers,LowDevelopers,2019-11-05,2019.0,11.0,5.0,0,0.0,87.52087605416455,Failure
